Prompt Answer Id|Prompt Id|Answer|Courage Modifier|Diligence Modifier|Knowledge Modifier|Understanding Modifier|Expression Modifier|Courage Rank Requirement|Diligence Rank Requirement|Knowledge Rank Requirement|Understanding Rank Requirement|Expression Rank Requirement
A1-02S0101FR|FR-02S0101|"It has to be us."|0|0|0|0|0|0|0|0|0|0
A2-02S0101FR|FR-02S0101|"I want to keep my word too."|0|0|0|0|0|0|0|0|0|0
A3-02S0101FR|FR-02S0101|"Let's bring an end to this."|0|0|0|0|0|0|0|0|0|0
A4-02S0101FR|FR-02S0101|"You do it."|0|0|0|0|0|0|0|0|0|0
A1-02S0201FR|FR-02S0201|"It must be tough."|0|0|0|0|0|0|0|0|0|0
A2-02S0201FR|FR-02S0201|"You're bragging about it?"|0|0|0|0|0|0|0|0|0|0
A3-02S0201FR|FR-02S0201|"Why are you infamous?"|0|0|0|0|0|0|0|0|0|0
A1-02S0301FR|FR-02S0301|"He's sounding like you too."|0|0|0|0|0|0|0|0|0|0
A2-02S0301FR|FR-02S0301|"Teddie's cute."|0|0|0|0|0|0|0|0|0|0
A3-02S0301FR|FR-02S0301|"Hmm, you're looking hairier."|0|0|0|0|0|0|0|0|0|0
A1-02S0302FR|FR-02S0302|"You don't block them?"|0|0|0|0|0|0|0|0|0|0
A2-02S0302FR|FR-02S0302|"Why not change addresses?"|0|0|0|0|0|0|0|0|0|0
A3-02S0302FR|FR-02S0302|"Eh, what can you do."|0|0|0|0|0|0|0|0|0|0
A1-02S0401FR|FR-02S0401|"That must be hard."|0|0|0|0|0|0|0|0|0|0
A2-02S0401FR|FR-02S0401|"Don't strain yourself."|0|0|0|0|0|0|0|0|0|0
A3-02S0401FR|FR-02S0401|"You're incredible."|0|0|0|0|0|0|0|0|0|0
A1-02S0402FR|FR-02S0402|"That's the spirit!"|0|0|0|0|0|0|0|0|0|0
A2-02S0402FR|FR-02S0402|"Don't get too excited."|0|0|0|0|0|0|0|0|0|0
A3-02S0402FR|FR-02S0402|"What can you do…?"|0|0|0|0|0|0|0|0|0|0
A1-02S0501FR|FR-02S0501|"Of course."|0|0|0|0|0|0|0|0|0|0
A2-02S0501FR|FR-02S0501|"Huh?"|0|0|0|0|0|0|0|0|0|0
A3-02S0501FR|FR-02S0501|"What, don't you?"|0|0|0|0|0|0|0|0|0|0
A1-02S0502FR|FR-02S0502|"I have."|0|0|0|0|0|0|0|0|0|0
A2-02S0502FR|FR-02S0502|"I haven't."|0|0|0|0|0|0|0|0|0|0
A3-02S0502FR|FR-02S0502|"I will soon."|0|0|0|0|0|0|0|0|0|0
A1-02S0601FR|FR-02S0601|"No problem."|0|0|0|0|0|0|0|0|0|0
A2-02S0601FR|FR-02S0601|"Tell me nest time!"|0|0|0|0|0|0|0|0|0|0
A3-02S0601FR|FR-02S0601|"It was fun."|0|0|0|0|0|0|0|0|0|0
A1-02S0602FR|FR-02S0602|"You're right."|0|0|0|0|0|0|0|0|0|0
A2-02S0602FR|FR-02S0602|"Man, you're mature."|0|0|0|0|0|0|0|0|0|0
A3-02S0602FR|FR-02S0602|"No need to hold back."|0|0|0|0|0|0|0|0|0|0
A1-02S0701FR|FR-02S0701|"Shut up!"|0|0|0|0|0|0|0|0|0|0
A2-02S0701FR|FR-02S0701|"Calm down, man…"|0|0|0|0|0|0|0|0|3|0
A3-02S0701FR|FR-02S0701|"I feel bad for Saki-senpai."|0|0|0|0|0|0|0|0|0|3
A1-02S0702FR|FR-02S0702|"You were just upset."|0|0|0|0|0|0|0|0|0|0
A2-02S0702FR|FR-02S0702|"Feel better now?"|0|0|0|0|0|0|0|0|0|0
A3-02S0702FR|FR-02S0702|"I know how it is."|0|0|0|0|0|0|0|0|0|0
A1-02S0801FR|FR-02S0801|"She dumped you?"|0|0|0|0|0|0|0|0|0|0
A2-02S0801FR|FR-02S0801|"She died?"|0|0|0|0|0|0|0|0|0|0
A1-02S0802FR|FR-02S0802|"Just take it slow."|0|0|0|0|0|0|0|0|0|0
A2-02S0802FR|FR-02S0802|"I understand…"|0|0|0|0|0|0|0|0|0|0
A3-02S0802FR|FR-02S0802|"Don't apologize."|0|0|0|0|0|0|0|0|0|0
A1-02S0803FR|FR-02S0803|Pat his head|0|0|0|0|0|0|0|0|0|0
A2-02S0803FR|FR-02S0803|Hug him|0|0|0|0|0|0|0|0|0|0
A3-02S0803FR|FR-02S0803|Leave him be|0|0|0|0|0|0|0|0|0|0
A1-02S0901FR|FR-02S0901|"Cheer up."|0|0|0|0|0|0|0|0|0|0
A2-02S0901FR|FR-02S0901|"Still sad about Saki-senpai?"|0|0|0|0|0|0|0|0|0|0
A3-02S0901FR|FR-02S0901|"Be a man. Stand up straight."|0|0|0|0|0|0|0|0|0|0
A1-02S0902FR|FR-02S0902|"You're right."|0|0|0|0|0|0|0|0|0|0
A2-02S0902FR|FR-02S0902|"That's not true."|0|0|0|0|0|0|0|0|0|0
A3-02S0902FR|FR-02S0902|"I don't get it."|0|0|0|0|0|0|0|0|0|0
A1-02S1001FR|FR-02S1001|"I didn't know."|0|0|0|0|0|0|0|0|0|0
A2-02S1001FR|FR-02S1001|"It can't be helped."|0|0|0|0|0|0|0|0|0|0
A3-02S1001FR|FR-02S1001|"'I guess'?"|0|0|0|0|0|0|0|0|0|0
A1-02S1002FR|FR-02S1002|"Hitting you won't do that."|0|0|0|0|0|0|0|0|0|0
A2-02S1002FR|FR-02S1002|"Then let's get equal!"|0|0|0|0|0|0|0|0|0|0
A1-03S0101FR|FR-03S0101|"I'm sure of it."|0|0|0|0|0|0|0|0|0|0
A2-03S0101FR|FR-03S0101|"I doubt it."|0|0|0|0|0|0|0|0|0|0
A3-03S0101FR|FR-03S0101|"No worries, I'll protect you."|0|0|0|0|0|3|0|0|0|0
A1-03S0102FR|FR-03S0102|Ask her straight out|0|0|0|0|0|5|0|0|0|0
A2-03S0102FR|FR-03S0102|Say it's for the investigation|0|0|0|0|0|0|0|0|0|0
A1-03S0201FR|FR-03S0201|"Going to apply for one?"|0|0|0|0|0|0|0|0|0|0
A2-03S0201FR|FR-03S0201|"Sensei?"|0|0|0|0|0|0|0|0|0|0
A1-03S0202FR|FR-03S0202|"Sounds good."|0|0|0|0|0|0|0|0|0|0
A2-03S0202FR|FR-03S0202|"What's that?"|0|0|0|0|0|0|0|0|0|0
A3-03S0202FR|FR-03S0202|"You decide."|0|0|0|0|0|0|0|0|0|0
A1-03S0301FR|FR-03S0301|"Making dinner at the inn?"|0|0|0|0|0|0|0|0|0|0
A2-03S0301FR|FR-03S0301|"On an errand?"|0|0|0|0|0|0|0|0|0|0
A1-03S0302FR|FR-03S0302|"Good luck."|0|0|0|0|0|0|0|0|0|0
A2-03S0302FR|FR-03S0302|"There’s no point."|0|0|0|0|0|0|0|0|0|0
A3-03S0302FR|FR-03S0302|"Any other skills?"|0|0|0|0|0|0|0|0|0|0
A1-03S0303FR|FR-03S0303|"Count me in!"|0|0|0|0|0|4|0|0|0|0
A2-03S0303FR|FR-03S0303|"I don’t mind."|0|0|0|0|0|0|0|0|0|0
A3-03S0303FR|FR-03S0303|"I dunno…"|0|0|0|0|0|0|0|0|0|0
A1-03S0401FR|FR-03S0401|"Let’s eat!"|0|0|0|0|0|3|0|0|0|0
A2-03S0401FR|FR-03S0401|"My stomach’s kinda…"|0|0|0|0|0|0|0|0|0|0
A3-03S0401FR|FR-03S0401|"Did you taste it?"|0|0|0|0|0|0|0|0|0|0
A1-03S0402FR|FR-03S0402|"There’s always next time."|0|0|0|0|0|0|0|0|0|0
A2-03S0402FR|FR-03S0402|"This won’t cut it."|0|0|0|0|0|0|0|0|0|0
A3-03S0402FR|FR-03S0402|"...Can I toss this?"|0|0|0|0|0|0|0|0|0|0
A1-03S0403FR|FR-03S0403|"It’s okay."|0|0|0|0|0|0|0|0|0|0
A2-03S0403FR|FR-03S0403|"I’m having fun."|0|0|0|0|0|0|0|0|0|0
A3-03S0403FR|FR-03S0403|"Just don’t feed me again."|0|0|0|0|0|0|0|0|0|0
A1-03S0501FR|FR-03S0501|"What’s all this for?"|0|0|0|0|0|0|0|0|0|0
A2-03S0501FR|FR-03S0501|"Can you carry all that?"|0|0|0|0|0|0|0|0|0|0
A1-03S0502FR|FR-03S0502|"Sounds good to me."|0|0|0|0|0|0|0|0|0|0
A2-03S0502FR|FR-03S0502|"You said no?"|0|0|0|0|0|0|0|0|0|0
A1-03S0503FR|FR-03S0503|"Are you serious?"|0|0|0|0|0|0|0|0|0|0
A2-03S0503FR|FR-03S0503|"That’s selfish."|0|0|0|0|0|0|0|0|0|0
A1-03S0601FR|FR-03S0601|"What are you making?"|0|0|0|0|0|0|0|0|0|0
A2-03S0601FR|FR-03S0601|"Gotten any better yet?"|0|0|0|0|0|0|0|0|0|0
A1-03S0602FR|FR-03S0602|"Get someone to teach you."|0|0|0|0|0|0|0|0|0|0
A2-03S0602FR|FR-03S0602|"Keep practicing."|0|0|0|0|0|0|0|0|0|0
A3-03S0602FR|FR-03S0602|"Want me to teach you?"|0|0|0|0|0|0|0|0|0|0
A1-03S0603FR|FR-03S0603|"You’re pretty bad."|0|0|0|0|0|0|0|0|0|0
A2-03S0603FR|FR-03S0603|"If you started a fire…"|0|0|0|0|0|0|0|0|0|0
A3-03S0603FR|FR-03S0603|"They care about you."|0|0|0|0|0|0|0|0|0|0
A1-03S0701FR|FR-03S0701|"You’re not coming back?"|0|0|0|0|0|0|0|0|0|0
A2-03S0701FR|FR-03S0701|"You’re really leaving?"|0|0|0|0|0|0|0|0|0|0
A1-03S0702FR|FR-03S0702|"It’s okay."|0|0|0|0|0|0|0|0|0|0
A2-03S0702FR|FR-03S0702|"They’re not mistaken."|0|0|0|0|0|0|0|0|0|0
A1-03S0801FR|FR-03S0801|"An interview?"|0|0|0|0|0|0|0|0|0|0
A2-03S0801FR|FR-03S0801|"You’re going to be on TV?"|0|0|0|0|0|0|0|0|0|0
A1-03S0802FR|FR-03S0802|"Yeah, you were."|0|0|0|0|0|0|0|0|0|0
A2-03S0802FR|FR-03S0802|"You were cool."|0|0|0|0|0|0|0|0|0|0
A3-03S0802FR|FR-03S0802|"You should’ve said more."|0|0|0|0|0|0|0|0|0|0
A1-03S0901FR|FR-03S0901|"For everyone…"|0|0|0|0|0|0|0|0|0|0
A2-03S0901FR|FR-03S0901|"For me."|0|0|0|0|0|0|0|0|0|0
A3-03S0901FR|FR-03S0901|"For you…"|0|0|0|0|0|0|0|0|0|0
A4-03S0901FR|FR-03S0901|"It’s a secret"|0|0|0|0|0|0|0|0|0|0
A1-03S0902FR|FR-03S0902|"You’re my classmate."|0|0|0|0|0|0|0|0|0|0
A2-03S0902FR|FR-03S0902|"You’re my friend."|0|0|0|0|0|0|0|0|0|0
A3-03S0902LV|FR-03S0902|"I really like you."|0|0|0|0|0|0|0|0|0|0
A1-03S1001LV|LV-03S1001|"The futon good with you?"|0|0|0|0|0|0|0|0|0|0
A2-03S1001LV|LV-03S1001|"The sofa good with you?"|0|0|0|0|0|0|0|0|0|0
A3-03S1001LV|LV-03S1001|"The floor good with you?"|0|0|0|0|0|0|0|0|0|0
A1-03S1002LV|LV-03S1002|"That’s good."|0|0|0|0|0|0|0|0|0|0
A2-03S1002LV|LV-03S1002|"Did you think it over?"|0|0|0|0|0|0|0|0|0|0
A3-03S1002LV|LV-03S1002|"Good luck."|0|0|0|0|0|0|0|0|0|0
A1-03S1003LV|LV-03S1003|"Thank you."|0|0|0|0|0|0|0|0|0|0
A2-03S1003LV|LV-03S1003|"You’ll protect me."|0|0|0|0|0|0|0|0|0|0
A1-03S1001FR|FR-03S1001|"That’s good."|0|0|0|0|0|0|0|0|0|0
A2-03S1001FR|FR-03S1001|"Did you think it over?"|0|0|0|0|0|0|0|0|0|0
A3-03S1001FR|FR-03S1001|"Good luck."|0|0|0|0|0|0|0|0|0|0
A1-03S1002FR|FR-03S1002|"Thank you."|0|0|0|0|0|0|0|0|0|0
A2-03S1002FR|FR-03S1002|"Relying on the gods?"|0|0|0|0|0|0|0|0|0|0
A1-05S0101FR|FR-05S0101|"Something like that."|0|0|0|0|0|0|0|0|0|0
A2-05S0101FR|FR-05S0101|"You’re not far off."|0|0|0|0|0|0|0|0|0|0
A3-05S0101FR|FR-05S0101|"I’m just here to talk."|0|0|0|0|0|0|0|0|0|0
A1-05S0102FR|FR-05S0102|"That’s right."|0|0|0|0|0|0|0|0|0|0
A2-05S0102FR|FR-05S0102|"I want to believe in you."|0|0|0|0|0|0|0|0|0|0
A3-05S0102FR|FR-05S0102|"You heard me!"|0|0|0|0|0|0|0|0|0|0
A1-05S0103FR|FR-05S0103|"Everyone’s like that."|0|0|0|0|0|0|0|0|0|0
A2-05S0103FR|FR-05S0103|"Don’t worry about it."|0|0|0|0|0|0|0|0|0|0
A3-05S0103FR|FR-05S0103|"It’s no trouble."|0|0|0|0|0|0|0|0|0|0
A1-05S0201FR|FR-05S0201|"Apologize to her."|0|0|0|0|0|0|0|0|0|0
A2-05S0201FR|FR-05S0201|"You just need to change."|0|0|0|0|0|0|0|0|0|0
A3-05S0201FR|FR-05S0201|"That’s what kids do."|0|0|0|0|0|0|0|0|0|0
A1-05S0301FR|FR-05S0301|"Get ahold of yourself."|0|0|0|0|0|0|0|0|0|0
A2-05S0301FR|FR-05S0301|"Let’s hurry."|0|0|0|0|0|0|0|0|0|0
A3-05S0301FR|FR-05S0301|"What happened?"|0|0|0|0|0|0|0|0|0|0
A1-05S0302FR|FR-05S0302|"That’s good."|0|0|0|0|0|0|0|0|0|0
A2-05S0302FR|FR-05S0302|"I don’t blame you."|0|0|0|0|0|0|0|0|0|0
A3-05S0302FR|FR-05S0302|"You wuss."|0|0|0|0|0|0|0|0|0|0
A1-05S0303FR|FR-05S0303|"Because of his hobbies?"|0|0|0|0|0|0|0|0|0|0
A2-05S0303FR|FR-05S0303|"Because of his looks?"|0|0|0|0|0|0|0|0|0|0
A3-05S0303FR|FR-05S0303|"Because of his attitude?"|0|0|0|0|0|0|0|0|0|0
A1-05S0401FR|FR-05S0401|"Plenty."|0|0|0|0|0|0|0|0|0|0
A2-05S0401FR|FR-05S0401|"Nothing in particular."|0|0|0|0|0|0|0|0|0|0
A3-05S0401FR|FR-05S0401|"I forget."|0|0|0|0|0|0|0|0|0|0
A1-05S0402FR|FR-05S0402|"Violence isn’t the answer."|0|0|0|0|0|0|0|0|0|0
A2-05S0402FR|FR-05S0402|"I’ll go with you."|0|0|0|0|0|0|0|0|0|0
A1-05S0403FR|FR-05S0403|"Too bad that you didn’t find it."|0|0|0|0|0|0|0|0|0|0
A2-05S0403FR|FR-05S0403|"That was boring."|0|0|0|0|0|0|0|0|0|0
A3-05S0403FR|FR-05S0403|"You’re giving him a new one?"|0|0|0|0|0|0|0|0|0|0
A1-05S0501FR|FR-05S0501|"Just tell him the truth."|0|0|0|0|0|0|0|0|0|0
A2-05S0501FR|FR-05S0501|"This old man here made it."|0|0|0|0|0|0|0|0|0|0
A1-05S0502FR|FR-05S0502|"It was pretty amazing."|0|0|0|0|0|0|0|0|0|0
A2-05S0502FR|FR-05S0502|"Don’t get cocky."|0|0|0|0|0|0|0|0|0|0
A1-05S0601FR|FR-05S0601|"It’s good for you."|0|0|0|0|0|0|0|0|0|0
A2-05S0601FR|FR-05S0601|"You’re not happy?"|0|0|0|0|0|0|0|0|0|0
A3-05S0601FR|FR-05S0601|"Looks like a pain…"|0|0|0|0|0|0|0|0|0|0
A1-05S0701FR|FR-05S0701|"Don’t call me bro."|0|0|0|0|0|0|0|0|0|0
A2-05S0701FR|FR-05S0701|"Yeah go ahead."|0|0|0|0|0|0|0|0|0|0
A3-05S0701FR|FR-05S0701|"I want to learn too."|0|0|0|0|0|0|0|0|0|0
A1-05S0702FR|FR-05S0702|"Your weak heart."|0|0|0|0|0|0|0|0|0|0
A2-05S0702FR|FR-05S0702|"Your past."|0|0|0|0|0|0|0|0|0|0
A3-05S0702FR|FR-05S0702|"I’m drawing a blank."|0|0|0|0|0|0|0|0|0|0
A1-05S0801FR|FR-05S0801|"On what charges?"|0|0|0|0|0|0|0|0|0|0
A2-05S0801FR|FR-05S0801|"Kanji didn’t do anything."|0|0|0|0|0|4|0|0|0|0
A3-05S0801FR|FR-05S0801|"You got a warrant?"|0|0|0|0|0|0|0|4|0|0
A1-05S0802FR|FR-05S0802|"It’s a misunderstanding."|0|0|0|0|0|0|0|0|0|0
A2-05S0802FR|FR-05S0802|"He was just being nice."|0|0|0|0|0|0|0|0|0|0
A1-05S0803FR|FR-05S0803|"Believe it!"|0|0|0|0|0|0|0|0|0|4
A2-05S0803FR|FR-05S0803|"The truth is the truth."|0|0|0|0|0|0|0|0|0|0
A3-05S0803FR|FR-05S0803|"Tell him, Kanji."|0|0|0|0|0|0|0|0|0|0
A1-05S0901FR|FR-05S0901|"Tell him?"|0|0|0|0|0|0|0|0|0|0
A2-05S0901FR|FR-05S0901|"Why didn’t you go before?"|0|0|0|0|0|0|0|0|0|0
A3-05S0901FR|FR-05S0901|"How was it?"|0|0|0|0|0|0|0|0|0|0
A1-05S0902FR|FR-05S0902|"Good for you."|0|0|0|0|0|0|0|0|0|0
A2-05S0902FR|FR-05S0902|"Find more of them."|0|0|0|0|0|0|0|0|0|0
A3-05S0902FR|FR-05S0902|"Your own self?"|0|0|0|0|0|0|0|0|0|0
A1-06S0101FR|FR-06S0101|"It’s fun."|0|0|0|0|0|0|0|0|0|0
A2-06S0101FR|FR-06S0101|"Meh…"|0|0|0|0|0|0|0|0|0|0
A3-06S0101FR|FR-06S0101|"It’s boring."|0|0|0|0|0|0|0|0|0|0
A1-06S0102FR|FR-06S0102|"Yes."|0|0|0|0|0|0|0|0|0|0
A2-06S0102FR|FR-06S0102|"No."|0|0|0|0|0|0|0|0|0|0
A3-06S0102FR|FR-06S0102|"Say it straight out."|0|0|0|0|0|0|0|0|0|0
A1-06S0201FR|FR-06S0201|"Hanging with friends."|0|0|0|0|0|0|0|0|0|0
A2-06S0201FR|FR-06S0201|"Club meetings."|0|0|0|0|0|0|0|0|0|0
A3-06S0201FR|FR-06S0201|"Working."|0|0|0|0|0|0|0|0|0|0
A4-06S0201FR|FR-06S0201|"Nothing…"|0|0|0|0|0|0|0|0|0|0
A1-06S0202FR|FR-06S0202|"Do you still suspect me?"|0|0|0|0|0|0|0|0|0|0
A2-06S0202FR|FR-06S0202|"Not good at talking?"|0|0|0|0|0|0|0|0|0|0
A3-06S0202FR|FR-06S0202|"Tell me about yourself."|0|0|0|0|0|0|0|0|0|0
A1-06S0203FR|FR-06S0203|"That’s stretching it."|0|0|0|0|0|0|0|0|0|0
A2-06S0203FR|FR-06S0203|"Should I call you big bro?"|0|0|0|0|0|0|0|0|0|0
A1-06S0301FR|FR-06S0301|"Why not play with her?"|0|0|0|0|0|0|0|0|0|0
A2-06S0301FR|FR-06S0301|"I feel sorry for her."|0|0|0|0|0|0|0|0|0|0
A3-06S0301FR|FR-06S0301|"Not good with kids?"|0|0|0|0|0|0|0|0|0|0
A1-06S0302FR|FR-06S0302|"Why?"|0|0|0|0|0|0|0|0|0|0
A2-06S0302FR|FR-06S0302|"Fit or not, you’re family."|0|0|0|0|0|0|0|0|0|0
A3-06S0302FR|FR-06S0302|"I don’t get it."|0|0|0|0|0|0|0|0|0|0
A1-06S0401FR|FR-06S0401|"Black."|0|0|0|0|0|0|0|0|0|0
A2-06S0401FR|FR-06S0401|"With cream."|0|0|0|0|0|0|0|0|0|0
A3-06S0401FR|FR-06S0401|"Cream and sugar."|0|0|0|0|0|0|0|0|0|0
A4-06S0401FR|FR-06S0401|"Surprise me."|0|0|0|0|0|0|0|0|0|0
A1-06S0402FR|FR-06S0402|"You don’t have to do that."|0|0|0|0|0|0|0|0|0|0
A2-06S0402FR|FR-06S0402|"Thank you."|0|0|0|0|0|0|0|0|0|0
A1-06S0501FR|FR-06S0501|"Looking for something?"|0|0|0|0|0|0|0|0|0|0
A2-06S0501FR|FR-06S0501|"Can I help?"|0|0|0|0|0|0|0|0|0|0
A3-06S0501FR|FR-06S0501|"Working at home?"|0|0|0|0|0|0|0|0|0|0
A1-06S0502FR|FR-06S0502|"Are you okay?"|0|0|0|0|0|0|0|0|0|0
A2-06S0502FR|FR-06S0502|"What was that about?"|0|0|0|0|0|0|0|0|0|0
A3-06S0502FR|FR-06S0502|"But Nanako…"|0|0|0|0|0|0|0|0|0|0
A1-06S0601FR|FR-06S0601|"Let’s not."|0|0|0|0|0|0|0|0|0|0
A2-06S0601FR|FR-06S0601|"Even if it’s about family?"|0|0|0|0|0|0|0|0|0|0
A3-06S0601FR|FR-06S0601|"Then let’s go outside."|0|0|0|0|0|0|0|0|0|0
A1-06S0602FR|FR-06S0602|"You’re right."|0|0|0|0|0|0|0|0|0|0
A2-06S0602FR|FR-06S0602|"Is that what she wants?"|0|0|0|0|0|0|0|0|0|0
A3-06S0602FR|FR-06S0602|"That’s just an excuse."|0|0|0|0|0|0|0|0|0|0
A1-06S0701FR|FR-06S0701|"When is ‘anytime’?"|0|0|0|0|0|0|0|0|0|0
A2-06S0701FR|FR-06S0701|"This is more important, huh?"|0|0|0|0|0|0|0|0|0|0
A1-06S0801FR|FR-06S0801|"Working at home again?"|0|0|0|0|0|0|0|0|0|0
A2-06S0801FR|FR-06S0801|"Buying a new car?"|0|0|0|0|0|0|0|0|0|0
A3-06S0801FR|FR-06S0801|"Want some coffee?"|0|0|0|0|0|0|0|0|0|0
A1-06S0802FR|FR-06S0802|"Because of Nanako."|0|0|0|0|0|0|0|0|0|0
A2-06S0802FR|FR-06S0802|"Because her killer’s loose."|0|0|0|0|0|0|0|0|0|0
A3-06S0802FR|FR-06S0802|"Because you’re a coward."|0|0|0|0|0|5|0|0|0|0
A1-06S0901FR|FR-06S0901|"I don’t mind."|0|0|0|0|0|0|0|0|0|0
A2-06S0901FR|FR-06S0901|"It was fun."|0|0|0|0|0|0|0|0|0|0
A3-06S0901FR|FR-06S0901|"Ask me next time."|0|0|0|0|0|0|0|0|0|0
A1-06S0902FR|FR-06S0902|"Was it hard?"|0|0|0|0|0|0|0|0|0|0
A2-06S0902FR|FR-06S0902|"Do you regret it now?"|0|0|0|0|0|0|0|0|0|0
A3-06S0902FR|FR-06S0902|"You’ve stopped running?"|0|0|0|0|0|0|0|0|0|0
A1-06S1001FR|FR-06S1001|"Thank you."|0|0|0|0|0|0|0|0|0|0
A2-06S1001FR|FR-06S1001|"What am I using now?"|0|0|0|0|0|0|0|0|0|0
A3-06S1001FR|FR-06S1001|"My name? That’s okay…"|0|0|0|0|0|0|0|0|0|0
A1-06S1002FR|FR-06S1002|"Go get ’em."|0|0|0|0|0|0|0|0|0|0
A2-06S1002FR|FR-06S1002|"Be careful."|0|0|0|0|0|0|0|0|0|0
A3-06S1002FR|FR-06S1002|"Leave it to me."|0|0|0|0|0|0|0|0|0|0
A1-07S0101FR|FR-07S0101|"Sure, I’ll show you around."|0|0|0|0|0|0|0|0|0|0
A2-07S0101FR|FR-07S0101|"If I have the time…"|0|0|0|0|0|0|0|0|0|0
A3-07S0101FR|FR-07S0101|"Yeah, I know a few places"|0|0|0|0|0|0|0|0|0|0
A1-07S0201FR|FR-07S0201|"Why?"|0|0|0|0|0|0|0|0|0|0
A2-07S0201FR|FR-07S0201|"So you don’t eat out?"|0|0|0|0|0|0|0|0|0|0
A3-07S0201FR|FR-07S0201|"Just order takeout"|0|0|0|0|0|0|0|0|0|0
